epoch,train_loss,train_accuracy,val_loss,val_accuracy,test_loss,test_accuracy
1,0.3537832526564598,0.8900740740740741,0.12052795759836833,0.9623333333333334,0.3135385041236877,0.9038
2,0.11608400041085702,0.9645185185185186,0.07075834113359451,0.9803333333333333,0.22543435323238373,0.9398
3,0.07676978377997876,0.9767407407407407,0.06551016592482725,0.9801666666666666,0.1952243689775467,0.9429
4,0.056378315936636045,0.9829629629629629,0.055390518507609766,0.982,0.1954803843855858,0.9477
5,0.04456984124898359,0.9856111111111111,0.05550997840240598,0.9835,0.19522924705147743,0.9484
6,0.03629753797083955,0.9877407407407407,0.05171529148394863,0.9845,0.18699410572648048,0.9543
7,0.028342920988470455,0.9898703703703704,0.05909671655576676,0.9845,0.21317130045369267,0.9525
8,0.027541941382370337,0.9905555555555555,0.06249502160151799,0.984,0.20916636717021464,0.9546
9,0.02225103924471316,0.9927037037037038,0.07054411596913511,0.9843333333333333,0.2295179548561573,0.9563
10,0.020434910138862,0.9931481481481481,0.06160708086825131,0.986,0.2260877474695444,0.9525
11,0.017659253157731317,0.9940925925925926,0.06966902223357466,0.9853333333333333,0.24816822487441823,0.955
12,0.016320458039240395,0.9947777777777778,0.07005814823384086,0.9843333333333333,0.2624436986869201,0.9559
