epoch,train_loss,train_accuracy,val_loss,val_accuracy,test_loss,test_accuracy
1,0.46980319135718873,0.8542037037037037,0.14820518136024474,0.9563333333333334,0.37128791751861573,0.8917
2,0.1480829927391476,0.9557592592592593,0.09699042082826297,0.9723333333333334,0.2777457226753235,0.9204
3,0.10065343003140556,0.9699444444444445,0.08064004804690679,0.977,0.23177484356164932,0.9356
4,0.07510604418979751,0.9772407407407407,0.07580313803752263,0.9771666666666666,0.22929914677143096,0.9373
5,0.05920435251129998,0.9812037037037037,0.06693131078282992,0.981,0.2066288072824478,0.9466
6,0.048740459395779506,0.9837962962962963,0.06668588599562644,0.9803333333333333,0.2125824108839035,0.9468
7,0.04209383448296123,0.9863703703703703,0.0641842771023512,0.9828333333333333,0.21885708431005477,0.9479
8,0.03342225548349045,0.9889444444444444,0.06344601115336021,0.9836666666666667,0.21059593104869126,0.9495
9,0.030018294699766017,0.9899814814814815,0.07230969128509362,0.9806666666666667,0.2422694188386202,0.9477
10,0.02785957539053979,0.9906296296296296,0.06679983697583278,0.9846666666666667,0.2222269620090723,0.9534
11,0.022025774634132782,0.9920740740740741,0.06695705556621154,0.9843333333333333,0.22856168862953782,0.9535
12,0.020613315742600846,0.9928518518518519,0.06121989378829797,0.9851666666666666,0.2266010023266077,0.9554
